place,dataset,year,score,rank,isopen,exists,digital,public,online,free,machinereadable,bulk,openlicense,uptodate,url,format,licenseurl,dateavailable,officialtitle,publisher,timestamp,submitters,reviewers,details
id,spending,2013,0,38,False,?,?,?,?,?,?,?,?,?,None,None,None,None,None,None,7/6/2013 13:56:27,"[u'Yuandra Ismiraldi', u'Fariz']","[u'Alika Tuwo', u'Ramda Yanurzha']","It is unknown whether such a database currently exist. The Ministry of Finance of the Republic of Indonesia had planned to implement the SPAN (Sistem Perbendaharaan dan Anggaran Negara/State Treasury and Budget System) in 2013, but it has been delayed. The SPAN is meant to be an internal integrated system of all processes related to the management of the budget, including budget preparation, budget document management, procurement management, payment management, revenue management, cash management, and reporting. Before, such transactional-level data seem to be scattered among individual line ministries instead of being in a unified database. Whether such detailed data is considered 'public' is unknown. A much more aggregated realized spending report, however, is available for download in PDF form from http://www.depkeu.go.id/indekskatalogdata/559 (quarterly report) or ftp://ftp1.perbendaharaan.go.id/produk/dia/lkpp/ (annual report). A database of nationwide government awarded contracts is also available at the LKPP LPSE e-Procurement portal http://inaproc.lkpp.go.id/."
za,budget,2013,55,26,False,Y,Y,Y,Y,Y,N,Y,?,Y,http://www.treasury.gov.za/documents/national%20budget/2013/default.aspx,xls,None,2013,None,None,4/6/2013 17:05:41,"[u'Adi Eyal', u'Mor Rubinstein', u'S Kendler']","[u'Mor Rubinstein', u'Laura James']",Government budgets are standardised across government departments allowing for easy comparisons. historic budgets are also available.  most documents in PDF but if you click through you can find Excel for some information.
se,map,2013,55,24,False,Y,Y,Y,Y,N,Y,Y,N,Y,http://www.lantmateriet.se/Kartor-och-geografisk-information/Kartor/,"Shape, jpeg, tiff",None,http://www.lantmateriet.se/Kartor-och-geografisk-information/Kartor/,None,None,2013-10-18T09:31:09.280Z,"[u'Daniela Mattern', u'Peter Krantz']","[u'Laura James', u'Niels Erik Kaaber Rasmussen', u'Daniela Mattern']","Lantmäteriets National maps are availiable in the scales 1:1 000 000 (Sweden map), 1:250 000 (Overview map), 1:100 000 (Roadmap) and 1:10 000 (Real property map) with national coverage. There is also a terrain map in the scale 1:50 000. The Sweden map in the scale 1:1 000 000 is available as a open downloadable dataset at this url: http://www.lantmateriet.se/Kartor-och-geografisk-information/Kartor/Sverigekartor/Gratis-Sverigekartor/ (the page and license is in Swedish). The other datasets are avaliable as WMS services and you can also order them as datasets from Lantmäteriets, but you can not download them. There is also a scalable webmap with national coverage that is availiable as a WMS and WMT services. These datasets are not open."
cn,legislation,2013,55,19,False,Y,Y,Y,Y,Y,N,Y,N,Y,http://www.gov.cn/flfg/index.htm,HTML,None,None,None,None,2013-09-28T08:02:04.568Z,FENG GAO,FENG GAO,None
bf,emissions,2013,15,48,False,Y,Y,Y,?,?,N,N,N,?,http://www.cns.bf/IMG/pdf/medd_annuaire_2010.pdf,None,None,None,None,None,9/6/2013 1:48:47,"[u'titinto', u'Idriss TINTO', u'T. Idriss TINTO']","[u'Katelyn Rogers', u'Laura James', u'Idriss TINTO']",None
sk,map,2013,45,30,False,Y,Y,Y,Y,Y,N,N,N,Y,https://zbgis.skgeodesy.sk/tkgis/default.aspx,None,None,None,None,None,2013-09-30T17:50:09.187Z,Peter Hanecak,Jano Suchal,"Maps are available via interactive portal without means to export data (other than printing to PDF). Thankfully it works with Firefox without need for special plugins. Maps are available in resolutions up to 1:2000 . There is copyright notice at the bottom so ""no"" is filled for open license."
hr,postcodes,2013,0,45,False,N,N,N,N,N,N,N,N,N,None,None,None,None,None,None,2013-10-01T19:41:41.261Z,Drazen Hoffmann,Stevan Gostojić,None
si,budget,2013,100,1,True,Y,Y,Y,Y,Y,Y,Y,Y,Y,http://www.mf.gov.si/si/delovna_podrocja/proracun/sprejeti_proracun/,"CSV, pdf",None,None,None,None,19/02/2013 15:50:43,"[u'Marieke Guy', u'Jaka Kranjc', u'MatejaP', u'Andrew Stott']","[u'Jaka Kranjc', u'Christian Villum', u'IPMIT', u'Mor Rubinstein']","Each of the budget revisions are published as an Act and therefore available freely. Click on the links in the content of the page, to get to a page about each revision of a yearly budget. There, the first two links will be the budget in PDF and CSV format. Since 2013 the budget is also provided in CSV. Older PDF and CSV files, general part only (""splošni del""), are provided via a third party, on github:
https://github.com/zejn/prrorracun/tree/master/final/splosni ----"
cz,companies,2013,50,13,False,Y,Y,Y,Y,Y,Y,N,N,?,http://wwwinfo.mfcr.cz/ares/ares_es.html.cz,"xml, html",None,None,None,None,20/04/2012 16:48:35,"[u'Michaela Rybi\u010dkov\xe1 ', u'Jakub Mracek', u'Michaela Rybi\u010dkov\xe1']",Michaela Rybičková,"The number of queries is limited (1000 queries from 8am to 6pm, 5000 queires from 6pm to 8am). The data should be available with slight delay (days/weeks)."
ng,legislation,2013,30,56,False,Y,Y,Y,Y,?,N,Y,N,?,http://www.nassnig.org/nass/legislation.php,None,None,None,None,None,26/06/2012 02:02:59,"[u'Oludotun at Cloneshouse Nigeria', u'Oludotun Babayemi']","[u'Oluseun Onigbinde', u'Oluseun Onigbinde ']",None
ca,postcodes,2013,55,14,False,Y,Y,Y,Y,N,Y,Y,N,Y,http://www.canadapost.ca/cpo/mc/business/productsservices/mailing/pcdp.jsf,Fixed-width text file,None,None,None,None,4/6/2012 13:35:46,"[u'Frank Hangler', u'Michael Mulley']",James McKinney,"Canada Post is a Crown corporation of the Government of Canada. Commercial use of Canada Post's Postal Code Address Data (PCAD) product has been quoted at $50,600 per year. Canada Post claims copyright in its database of postal codes. It has recently defended its claim by filing a lawsuit against Geolytica: https://cippic.ca/en/copyright/geolytica-statement-of-defence."
nl,legislation,2013,100,1,True,Y,Y,Y,Y,Y,Y,Y,Y,Y,https://data.overheid.nl/data/dataset/basis-wetten-bestand,"Webservice, XML",None,Nov 2012,None,None,22/01/2013 16:40:37,"[u'Maarte n', u'Ton Zijlstra']",Arjan El Fassed,"Although the data download page at data.overheid.nl states the date of the data set is Nov 2012, in reality if you download the XML file, it will have a generation date of today. The data is updated daily. 

All laws are also available through webinterface at http://wetten.overheid.nl/zoeken/"
si,map,2013,70,14,False,Y,Y,Y,Y,Y,Y,Y,N,Y,http://www.e-prostor.gov.si/zbirke-prostorskih-podatkov/topografski-in-kartografski-podatki/,"TIFF, SHP, CSV",None,None,None,None,16/06/2013 10:41:13,"[u'Marieke Guy', u'Ales Versic', u'Daniela Mattern']","[u'Mor Rubinstein', u'Daniela Mattern', u'IPMIT']","Geodetska uprava (Slovenian equivalent of UK Ordnance survey) takes care of maps and resells them. Bulk data is available against payment. Licensing and reuse is non-free and limited. An 1:1.000.000 topographic raster map is free of charge and free for reuse, if a source is mentioned:
http://www.e-prostor.gov.si/?id=415

1:25.000 topographic maps are available for online use (but not download) through various free web viewers like the Atlas of environment and Geopedia.si .

Some other minor layers are also available free of charge (like the borders), especially environmental data at http://gis.arso.gov.si/wfs_web ."
jp,statistics,2013,40,50,False,Y,Y,Y,N,Y,?,?,N,Y,http://www.e-stat.go.jp/SG1/estat/eStatTopPortalE.do,None,None,1/4/2008,None,None,28/02/2013 19:21:44,"[u'Masahiko SHOJI', u'Masayuki Hatta']","[u'Laura James', u'Masayuki Hatta']","This so-called ""e-stat"" is the one-stop government stat data site of Japan. Most of data are available in Excel, some even CSV (unfortunately some are still PDF). You may use them basically free of charge, but the terms for commercial use is unclear."
